,Price
2024-09-02,1600000.0
2024-09-03,7500000.0
2024-09-04,9200000.0
2024-09-05,5700000.0
2024-09-06,8900000.0
2024-09-07,9900000.0
2024-09-08,1400000.0
2024-09-09,6700000.0
2024-09-10,1280000.0
2024-09-11,1700000.0
2024-09-12,4900000.0
2024-09-13,7500000.0
2024-09-14,2000000.0
2024-09-15,1240000.0
2024-09-16,5500000.0
2024-09-17,5500000.0
2024-09-18,6800000.0
2024-09-19,2900000.0
2024-09-20,6900000.0
2024-09-21,2300000.0
2024-09-22,1320000.0
2024-09-23,5200000.0
2024-09-24,6500000.0
2024-09-25,8500000.0
2024-09-26,6200000.0
2024-09-27,6700000.0
2024-09-28,5600000.0
2024-09-29,1350000.0
2024-09-30,1350000.0
2024-10-01,3600000.0
2024-10-02,1330000.0
2024-10-03,1340000.0
2024-10-04,6500000.0
2024-10-05,8800000.0
2024-10-06,8300000.0
2024-10-07,5500000.0
2024-10-08,5300000.0
2024-10-09,6200000.0
2024-10-10,2130000.0
2024-10-11,9100000.0
2024-10-12,5500000.0
2024-10-13,5300000.0
2024-10-14,7400000.0
2024-10-15,1120000.0
2024-10-16,1230000.0
2024-10-17,4700000.0
2024-10-18,21500000.0
2024-10-19,2750000.0
2024-10-20,6900000.0
2024-10-21,1840000.0
2024-10-22,6600000.0
2024-10-23,9700000.0
2024-10-24,7200000.0
2024-10-25,4000000.0
2024-10-26,1050000.0
2024-10-27,11500000.0
2024-10-28,9500000.0
2024-10-29,1450000.0
2024-10-30,4500000.0
2024-10-31,5500000.0
2024-11-01,1300000.0
2024-11-02,1250000.0
2024-11-03,1500000.0
2024-11-04,4500000.0
2024-11-05,1200000.0
2024-11-06,5500000.0
2024-11-07,5300000.0
2024-11-08,7000000.0
2024-11-09,1200000.0
2024-11-10,4000000.0
2024-11-11,4000000.0
2024-11-12,1900000.0
2024-11-13,1770000.0
2024-11-14,1240000.0
2024-11-15,4900000.0
2024-11-16,5000000.0
2024-11-17,3400000.0
2024-11-18,1400000.0
2024-11-19,7000000.0
2024-11-20,8500000.0
2024-11-21,2200000.0
2024-11-22,6500000.0
2024-11-23,1000000.0
2024-11-24,2150000.0
2024-11-25,1060000.0
2024-11-26,8000000.0
2024-11-27,1500000.0
2024-11-28,7650000.0
2024-11-29,7838000.0
2024-11-30,5100000.0
2024-12-01,6200000.0
2024-12-02,3500000.0
2024-12-03,5000000.0
2024-12-04,1250000.0
2024-12-05,1400000.0
2024-12-06,4500000.0
2024-12-07,2500000.0
2024-12-08,1300000.0
2024-12-09,3200000.0
2024-12-10,7388000.0
2024-12-11,5000000.0
2024-12-12,4500000.0
2024-12-13,9100000.0
2024-12-14,5000000.0
