,Price
2023-09-03,4000000.0
2023-09-04,5800000.0
2023-09-05,2500000.0
2023-09-06,4500000.0
2023-09-07,4400000.0
2023-09-08,2700000.0
2023-09-09,2178000.0
2023-09-10,3500000.0
2023-09-11,2400000.0
2023-09-12,3100000.0
2023-09-13,2000000.0
2023-09-14,2970000.0
2023-09-15,2250000.0
2023-09-16,4000000.0
2023-09-17,10250000.0
2023-09-18,4900000.0
2023-09-19,5000000.0
2023-09-20,1000000.0
2023-09-21,1100000.0
2023-09-22,7500000.0
2023-09-23,3400000.0
2023-09-24,4400000.0
2023-09-25,2000000.0
2023-09-26,5500000.0
2023-09-27,6200000.0
2023-09-28,5500000.0
2023-09-29,6500000.0
2023-09-30,3500000.0
2023-10-01,1250000.0
2023-10-02,2300000.0
2023-10-03,2500000.0
2023-10-04,4500000.0
2023-10-05,3000000.0
2023-10-06,2100000.0
2023-10-07,3800000.0
2023-10-08,4850000.0
2023-10-09,1000000.0
2023-10-10,5994000.0
2023-10-11,6000000.0
2023-10-12,1950000.0
2023-10-13,4500000.0
2023-10-14,1900000.0
2023-10-15,7900000.0
2023-10-16,6500000.0
2023-10-17,3800000.0
2023-10-18,4000000.0
2023-10-19,9850000.0
2023-10-20,7500000.0
2023-10-21,4000000.0
2023-10-22,1200000.0
2023-10-23,7000000.0
2023-10-24,4500000.0
2023-10-25,4200000.0
2023-10-26,3333000.0
2023-10-27,2500000.0
2023-10-28,3700000.0
2023-10-29,6900000.0
2023-10-30,4200000.0
2023-10-31,8200000.0
2023-11-01,1500000.0
2023-11-02,5200000.0
2023-11-03,6800000.0
2023-11-04,3000000.0
2023-11-05,1100000.0
2023-11-06,4400000.0
2023-11-07,3000000.0
2023-11-08,4500000.0
2023-11-09,3200000.0
2023-11-10,2420000.0
2023-11-11,2850000.0
2023-11-12,4500000.0
2023-11-13,3000000.0
2023-11-14,4000000.0
2023-11-15,7000000.0
2023-11-16,9000000.0
2023-11-17,4700000.0
2023-11-18,5600000.0
2023-11-19,1150000.0
2023-11-20,4200000.0
2023-11-21,5190000.0
2023-11-22,4500000.0
2023-11-23,6600000.0
2023-11-24,2980000.0
2023-11-25,1250000.0
2023-11-26,3650000.0
2023-11-27,6300000.0
2023-11-28,3850000.0
2023-11-29,6200000.0
2023-11-30,3140000.0
2023-12-01,1500000.0
2023-12-02,2000000.0
2023-12-03,3800000.0
2023-12-04,4889000.0
2023-12-05,2400000.0
2023-12-06,5500000.0
2023-12-07,4000000.0
2023-12-08,4300000.0
2023-12-09,3800000.0
2023-12-10,6200000.0
2023-12-11,5000000.0
2023-12-12,3300000.0
2023-12-13,1100000.0
2023-12-14,4500000.0
2023-12-15,7300000.0
2023-12-16,3500000.0
2023-12-17,8950000.0
2023-12-18,8600000.0
2023-12-19,6000000.0
2023-12-20,5200000.0
2023-12-21,3200000.0
2023-12-22,4900000.0
2023-12-23,6000000.0
2023-12-24,4000000.0
2023-12-25,1000000.0
2023-12-26,1450000.0
2023-12-27,5400000.0
2023-12-28,2200000.0
2023-12-29,1050000.0
2023-12-30,2700000.0
2023-12-31,5600000.0
2024-01-01,3500000.0
2024-01-02,1900000.0
2024-01-03,7444000.0
2024-01-04,2575000.0
2024-01-05,5000000.0
2024-01-06,4200000.0
2024-01-07,5500000.0
2024-01-08,1000000.0
2024-01-09,2000000.0
2024-01-10,3800000.0
2024-01-11,3800000.0
2024-01-12,3800000.0
2024-01-13,9000000.0
2024-01-14,3800000.0
